line,source,inputRms,inputPeak,outputRms,outputPeak,raw
949311,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40226, regionSamples=2048, queuedSampleValues=1904640, sourcePlaying=True"
949318,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949322,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14679, sequence=14678, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949336,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40320, regionSamples=2048, queuedSampleValues=1905152, sourcePlaying=True"
949343,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949347,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14706, sequence=14705, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949361,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40415, regionSamples=2048, queuedSampleValues=1907712, sourcePlaying=True"
949368,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949372,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14733, sequence=14732, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
949386,HL2SSMicrophoneClient,,,,,"test_microphone: packets=40510, regionSamples=2048, queuedSampleValues=1910272, sourcePlaying=True"
949393,HL2SSMicrophoneClient,,,,,"test_microphone:Update () (at Assets/hl2ss_Scripts/test/test_microphone.cs:107)"
949397,QuestHandDataSender,,,,,"QuestHandDataSender audio: sent audio frame count=14761, sequence=14760, sampleRate=16000, channels=1, sampleCount=800, bytes=1600"
